id,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
train_48605,California,Riverside,162,84,78,0.0,88.9,0.0,11.1,0.0,0.0,162,46625.0,3.7,,48.3,8.6,24.1,19.0,0.0,82.8,0.0,0.0,0.0,0.0,17.2,,58,81.0,0.0,19.0,0.0,0.0
train_48608,Florida,Broward,1461,764,697,15.3,83.3,1.4,0.0,0.0,0.0,1255,55833.0,16.7,,64.4,13.0,16.7,1.1,4.8,79.1,1.3,4.1,5.6,4.1,5.9,30.4,646,74.0,22.6,3.4,0.0,7.2
train_48867,California,Sacramento,6300,6272,28,23.4,24.4,42.6,1.5,3.9,0.7,5873,61250.0,0.0,0.0,60.6,0.0,24.2,0.0,15.2,36.4,27.3,0.0,36.4,0.0,0.0,,33,87.9,12.1,0.0,0.0,10.8
train_49292,Florida,Hillsborough,2120,911,1209,3.9,93.9,2.2,0.0,0.0,0.0,2096,40262.0,5.9,,30.1,26.5,32.6,0.0,10.8,100.0,0.0,0.0,0.0,0.0,0.0,20.1,279,71.3,16.1,12.5,0.0,5.1
train_49621,New Jersey,Ocean,4756,2095,2661,4.2,90.6,0.8,0.0,3.8,0.0,4616,33821.0,8.2,,26.5,23.3,28.8,9.0,12.5,89.4,7.5,0.0,3.0,0.0,0.1,35.2,971,90.0,6.0,4.0,0.0,13.5
train_49704,Arizona,Maricopa,2043,990,1053,3.4,92.7,2.8,0.0,0.5,0.0,1986,52625.0,4.9,,44.1,8.6,37.7,5.0,4.5,35.0,23.2,0.0,0.0,17.7,24.1,19.8,220,82.7,12.7,4.5,0.0,7.2
train_49886,New York,Bronx,52,18,34,0.0,0.0,100.0,0.0,0.0,0.0,44,42750.0,0.0,0.0,0.0,25.7,57.1,0.0,17.1,0.0,0.0,100.0,0.0,0.0,0.0,,35,100.0,0.0,0.0,0.0,0.0
train_50148,Florida,Palm Beach,893,402,491,5.2,90.7,4.1,0.0,0.0,0.0,869,45333.0,7.1,,31.6,10.4,45.0,0.0,13.0,58.4,0.0,0.0,6.5,6.1,29.0,20.2,231,80.1,2.2,17.7,0.0,2.1
train_50497,Illinois,Cook,377,98,279,0.0,0.0,92.8,0.0,0.0,0.0,254,5000.0,68.7,52.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,14,0.0,100.0,0.0,0.0,91.9
train_50567,Florida,Palm Beach,1041,419,622,8.1,86.6,0.0,0.5,0.0,0.0,947,18110.0,27.0,,54.8,8.1,37.0,0.0,0.0,85.4,10.0,0.0,0.0,4.6,0.0,26.7,135,86.7,8.1,5.2,0.0,28.6
